product_name,product_image,product_rating,no_of_review,min_price,max_price,price,currency
Gaming Chair FANTASYLAB Big and Tall Gaming Chair 400lb Air-Cooling System Copmputer Chair with 4 USB Cooling Fans 3D Adjustable Armrest Gamer Chair Heavy Duty Gaming Chair for Adult,https://m.media-amazon.com/images/I/71C4NEQD7ZL._AC_UL320_.jpg,4.3,361.0,284.99,284.99,284.99,USD
"Office Chair PC Gaming Chair Cheap Desk Chair Ergonomic PU Leather Executive Computer Chair Lumbar Support for Women, Men(Black)",https://m.media-amazon.com/images/I/61UmfkXCncL._AC_UL320_.jpg,4.3,7657.0,85.7,85.7,85.7,USD
"PC Gaming Chair Racing Office Chair Ergonomic Desk Chair Massage PU Leather Recliner Computer Chair with Lumbar Support Headrest Armrest Footrest Rolling Swivel Task Chair for Adults, White",https://m.media-amazon.com/images/I/61ZB7yMn5yL._AC_UL320_.jpg,4.4,9457.0,138.99,138.99,138.99,USD
"Swivel Floor Gaming Chair for Adults Teens,360 Degree Video Game Chairs with Folding Adjustable Backrest,Lazy Sofa Lounger for TV, Reading, Playing, Grey",https://m.media-amazon.com/images/I/91i9T46-DIL._AC_UL320_.jpg,4.4,153.0,92.99,92.99,92.99,USD
Office Chair Assembly,https://m.media-amazon.com/images/I/51GoNgvohkL._AC_UL320_.jpg,,,,,,USD
"DXRacer Air Modular Gaming Chair Breathable Office Executive Seat | Premium New-Tech Mesh, Memory Foam Headrest, Standard, Black",https://m.media-amazon.com/images/I/61IjRtKf0aL._AC_UL320_.jpg,2.0,2.0,499.0,499.0,499.0,USD
"DXRacer Master Module Gaming Chair Office Executive Computer Seat with Sliding Headrest Integrated Adjustable Lumbar Support, 4D Metal Armrest, Replaceable Removable Cushion & Backrest, Standard, Red",https://m.media-amazon.com/images/I/61EKvNRwqqL._AC_UL320_.jpg,3.9,40.0,519.0,519.0,519.0,USD
CORSAIR TC60 Fabric Gaming Chair - Relaxed Fit - Black,https://m.media-amazon.com/images/I/71NfOni4pkL._AC_UL320_.jpg,4.5,104.0,,,,USD
X Rocker Wireless Audio Pedestal Office Gaming Chair,https://m.media-amazon.com/images/I/81xgWHrza6L._AC_UL320_.jpg,4.2,3788.0,229.0,229.0,229.0,USD
"CORSAIR WW T1 Gaming Chair Racing Design, Black/Yellow",https://m.media-amazon.com/images/I/716nClkuqlL._AC_UL320_.jpg,4.5,5812.0,,,,USD
"Amazon Basics Ergonomic Gaming Chair with Bluetooth Speakers and Built-in Mic, Push-Button Height Control - Grey",https://m.media-amazon.com/images/I/71NepjXgXVS._AC_UL320_.jpg,4.3,26.0,215.24,215.24,215.24,USD
"SIHOO Ergonomic Mesh Office Chair, Computer Desk Chair with 3-Way Armrests, 2-Way Lumbar Support and Adjustable Headrest, High Back Home Office Chair with Tilt Function, Mesh Back and Seat(Grey)",https://m.media-amazon.com/images/I/715-Rlhi14L._AC_UL320_.jpg,4.4,3392.0,309.99,309.99,309.99,USD
"Comfty CFTYRGB001 Chairs, Multicolor",https://m.media-amazon.com/images/I/71W62e3UFqL._AC_UL320_.jpg,5.0,2.0,141.26,141.26,141.26,USD
"Ergonomic Office Chair, KERDOM Home Desk Chair, Comfy Breathable Mesh Task Chair, High Back Thick Cushion Computer Chair with Headrest and 3D Armrests, Adjustable Height Home Gaming Chair White",https://m.media-amazon.com/images/I/71fC5sc6LcL._AC_UL320_.jpg,4.1,587.0,195.49,195.49,195.49,USD
"X Rocker, 5143601, II SE 2.1 Black Leather Floor Video Gaming Chair, 27.8 x 18.5 x 17.5, Black",https://m.media-amazon.com/images/I/61lZA4BaM1L._AC_UL320_.jpg,4.4,1909.0,194.98,194.98,194.98,USD
Darkecho Gaming Chair Office Chair with Footrest Massage Vintage Leather Ergonomic Computer Chair Racing Desk Chair Reclining Adjustable High Back Gamer Chair with Headrest and Lumbar Support Ivory,https://m.media-amazon.com/images/I/61BobNHNq5L._AC_UL320_.jpg,3.7,35.0,199.99,199.99,199.99,USD
