product_name,product_image,product_rating,no_of_review,min_price,max_price,price,currency
"2021 Lenovo Legion 5 15.6"" FHD IPS Anti-Glare Gaming Laptop, AMD 6-Core Ryzen 5 4600H, 8GB DDR4, 256GB NVMe SSD + 1TB HDD, NVIDIA GTX 1650Ti 4GB GDDR6, Webcam, Backlit Keyboard, WiFi, BT, Windows 10",https://m.media-amazon.com/images/I/51FtjZikMqS._AC_UY218_.jpg,4.4,45.0,784.99,784.99,784.99,USD
"2022 Newest Lenovo Legion 5 Gaming Laptop, 15.6"" FHD Display, Intel 8-Core i7-11800H(Beat AMD Ryzen 7 5800H), NVIDIA GeForce RTX 3050Ti, Windows 11H, Phantom Blue (32GB RAM | 1TB SSD)",https://m.media-amazon.com/images/I/51goZ+4jbfL._AC_UY218_.jpg,5.0,1.0,1443.87,1443.87,1443.87,USD
New Replacement Lenovo 230W AC Adapter for Lenovo Legion 5 Charger，Lenovo Ideapad Legion Y920 Y910 Y900 Y740 Y730 Y7000 Y545 Y540 Lenovo Thinkpad P73 P53 P72 P52 P71 P51 P70 P50 Yoga A940 4X20E75111,https://m.media-amazon.com/images/I/61Yb7aAemAL._AC_UY218_.jpg,3.8,12.0,69.99,69.99,69.99,USD
"230W AC Adapter Fit for Lenovo Legion 5 Charger,Lenovo Ideapad Legion Y920 Y910 Y900 Y740 Y730 Y7000 Y545 Y540 Thinkpad P73 P53 P72 P52 P71 P51 P70 P50 Yoga A940 4X20E75111",https://m.media-amazon.com/images/I/61TDYA0rhIL._AC_UY218_.jpg,4.8,6.0,70.77,70.77,70.77,USD
"Lenovo Legion 5 Gaming Laptop, 17.3” FHD (1920 x 1080) Display, AMD Ryzen 5 5600H Processor, 8GB DDR4 Ram, 256GB SSD Storage, NVIDIA GeForce GTX 1650, Windows 11 Home, Phantom Blue, 32GB Lumege Flash",https://m.media-amazon.com/images/I/61f8ugUYqsL._AC_UY218_.jpg,3.0,2.0,,,,USD
"2022 Lenovo Legion 5 17.3"" FHD Gaming Laptop Computer, AMD Ryzen 5-5600H (Beats i7-9750H), 8GB RAM, 256GB PCIe SSD, NVIDIA GeForce GTX 1650 Graphics, Nahimic 3D Audio, Win 11, Black, 32GB USB Card",https://m.media-amazon.com/images/I/51Fe3H+mmRL._AC_UY218_.jpg,4.5,73.0,880.02,880.02,880.02,USD
"Newest Lenovo Legion 5 Pro Gen 6 Gaming Laptop | 8-core AMD Ryzen 7 5800H | 16.0"" QHD (2560x1600) IPS 165Hz Display | GeForce RTX 3070(140W) | Type-C | w/ 32GB SD Card (32GB RAM | 1TB PCIe SSD)",https://m.media-amazon.com/images/I/71b-uyA15VL._AC_UY218_.jpg,,,1817.36,1817.36,1817.36,USD
"2021 Lenovo Legion 5 Pro: Ryzen 7 5800H, NVidia RTX 3070, 16"" QHD (2560x1600) IPS 165Hz Display, 16GB RAM, 512GB SSD",https://m.media-amazon.com/images/I/51nwj3aTX5L._AC_UY218_.jpg,4.5,2.0,1649.0,1649.0,1649.0,USD
"Lenovo Legion 5 Pro Gen 6 AMD Gaming Laptop, 16.0"" QHD IPS 165Hz, Ryzen 7 5800H, GeForce RTX 3070 8GB, TGP 140W, Win 10 Home, 32GB RAM | 1TB PCIe SSD,Woov HDMI Cable Bundle",https://m.media-amazon.com/images/I/512l6KpejNS._AC_UY218_.jpg,3.7,7.0,1859.9,1859.9,1859.9,USD
"2022 Newest Lenovo Legion 5 pro Gaming Laptop, 16"" 165Hz QHD IPS Display, AMD Ryzen 7 5800H (8 Core) 3.20 GHz, NVIDIA GeForce RTX 3060 6GB GDDR6, Windows 11H, Storm Gray (32GB RAM | 1TB NVMe, RTX3060)",https://m.media-amazon.com/images/I/51JVElycEbL._AC_UY218_.jpg,,,1582.73,1582.73,1582.73,USD
"Lenovo Legion 5 Pro Gen 6 AMD Gaming Laptop, 16.0"" QHD IPS 165Hz, Ryzen 7 5800H, GeForce RTX 3060 6GB, TGP 130W, Win 10 Home, 32GB RAM | 2TB PCIe SSD, HDMI Cable Bundle",https://m.media-amazon.com/images/I/51AcvnP+Q2S._AC_UY218_.jpg,4.3,11.0,1751.12,1751.12,1751.12,USD
"Lenovo IdeaPad Gaming 3 15 Laptop, 15.6"" FHD Display, AMD Ryzen 5 5600H, NVIDIA GeForce GTX 1650, 8GB RAM, 256GB Storage, Windows 10H",https://m.media-amazon.com/images/I/71lNj3046jL._AC_UY218_.jpg,4.6,957.0,699.99,699.99,699.99,USD
"HotTopStar 20V 11.5A 230W AC Adapter Replacement Lenovo Laptop Charger for Lenovo Legion 5 Charger, for Legion 5 5i 5P Y540 Y545 Y730 Y740 Thinkpad P73 P72 P71 P70 P53 P52 P51 P50 4X20E75111",https://m.media-amazon.com/images/I/61NTJKlsdSS._AC_UY218_.jpg,,,72.99,72.99,72.99,USD
